day	seeding_rate	value	interval
1	1	0.399	5
2	1	0.399	5
3	1	0.399	5
4	1	0.399	5
5	1	0.399	9
6	1	0.524	9
7	1	0.525	9
8	1	0.526	9
9	1	0.527	13
10	1	0.592	13
11	1	0.772	13
12	1	0.773	13
13	1	0.774	17
14	1	0.788	17
15	1	0.789	17
16	1	0.958	17
17	1	0.959	21
18	1	1.773	21
19	1	1.774	21
20	1	1.775	21
21	1	1.776	0
1	2	0.798	5
2	2	0.798	5
3	2	0.798	5
4	2	0.798	5
5	2	0.798	9
6	2	1.048	9
7	2	1.048	9
8	2	1.048	9
9	2	1.048	13
10	2	1.184	13
11	2	1.545	13
12	2	1.546	13
13	2	1.547	17
14	2	1.577	17
15	2	1.578	17
16	2	1.915	17
17	2	1.916	21
18	2	3.545	21
19	2	3.546	21
20	2	3.547	21
21	2	3.548	0
1	3	1.197	5
2	3	1.197	5
3	3	1.197	5
4	3	1.197	5
5	3	1.197	9
6	3	1.571	9
7	3	1.571	9
8	3	1.571	9
9	3	1.571	13
10	3	1.776	13
11	3	2.317	13
12	3	2.318	13
13	3	2.319	17
14	3	2.365	17
15	3	2.366	17
16	3	2.873	17
17	3	2.874	21
18	3	5.318	21
19	3	5.319	21
20	3	5.32	21
21	3	5.321	0
1	4	1.596	5
2	4	1.596	5
3	4	1.596	5
4	4	1.596	5
5	4	1.596	9
6	4	2.095	9
7	4	2.095	9
8	4	2.095	9
9	4	2.095	13
10	4	2.368	13
11	4	3.089	13
12	4	3.089	13
13	4	3.089	17
14	4	3.153	17
15	4	3.153	17
16	4	3.83	17
17	4	3.84	21
18	4	7.09	21
19	4	7.1	21
20	4	7.11	21
21	4	7.12	0
1	5	1.995	5
2	5	1.995	5
3	5	1.995	5
4	5	1.995	5
5	5	1.995	9
6	5	2.619	9
7	5	2.619	9
8	5	2.619	9
9	5	2.619	13
10	5	2.96	13
11	5	3.861	13
12	5	3.861	13
13	5	3.861	17
14	5	3.942	17
15	5	3.942	17
16	5	4.788	17
17	5	4.789	21
18	5	8.863	21
19	5	8.864	21
20	5	8.865	21
21	5	8.866	0
