seeding_rate	genotype	r.N	r.mean	r.sd	r.se	pop.N	pop.mean	pop.sd	pop.se	ranked
1	B-1964	2	0.198038391	0.000673455	0.000476205	2	52.5	0.707106781	0.5	7
1	C-1969	3	0.195195179	0.003294906	0.001902315	3	49.66666667	3.214550254	1.855921454	6
1	D-1986	2	0.185544395	0.005183216	0.003665087	2	41	4.242640687	3	3
1	E-1988	2	0.162532242	0.025475154	0.018013654	2	27.5	13.43502884	9.5	1
1	F-1991	3	0.189523082	0.008191262	0.004729227	3	44.66666667	7.094598885	4.096068576	5
1	G-1998	3	0.187316475	0.026453517	0.015272945	3	46	19.92485885	11.50362262	4
1	H-2000	2	0.201663037	0.003130835	0.002213835	2	56.5	3.535533906	2.5	9
1	I-2009	3	0.198124398	0.003355344	0.001937209	3	52.66666667	3.511884584	2.02758751	8
1	J-2012	2	0.184412703	0.011447602	0.008094677	2	40.5	9.192388155	6.5	2
2	B-1964	3	0.180207189	0.015203708	0.008777865	3	75.66666667	20.98412098	12.1151879	5
2	C-1969	3	0.186263175	0.005739725	0.003313832	3	83.33333333	9.712534856	5.607534614	7
2	D-1986	2	0.154344653	0.026788235	0.018942143	2	47	24.04163056	17	2
2	E-1988	1	0.168364791	NA	NA	1	58	NA	NA	3
2	F-1991	2	0.150312298	0.004370413	0.003090349	2	40.5	3.535533906	2.5	1
2	G-1998	3	0.184213612	0.00179359	0.00103553	3	79.66666667	2.886751346	1.666666667	6
2	H-2000	1	0.198040658	NA	NA	1	105	NA	NA	9
2	I-2009	3	0.19195182	0.005525895	0.003190377	3	93.33333333	10.0166528	5.783117191	8
2	J-2012	3	0.170096865	0.013916731	0.008034828	3	61.66666667	17.95364401	10.3655412	4
3	B-1964	2	0.173351815	0.026586779	0.018799692	2	103	52.32590181	37	4
3	C-1969	3	0.177898663	0.007122403	0.004112121	3	106	15.39480432	8.888194417	6
3	D-1986	1	0.161606053	NA	NA	1	76	NA	NA	2
3	E-1988	3	0.16335758	0.009706894	0.005604278	3	79.66666667	14.571662	8.412952976	3
3	F-1991	3	0.173474193	0.007078792	0.004086943	3	97	13.52774926	7.810249676	5
3	G-1998	3	0.179526716	0.004095034	0.002364269	3	109	8.717797887	5.033222957	8
3	H-2000	1	0.179175947	NA	NA	1	108	NA	NA	7
3	I-2009	3	0.186144333	0.003338021	0.001927207	3	124.3333333	8.144527815	4.702245327	9
3	J-2012	3	0.135611708	0.042695465	0.024650238	3	58.33333333	51.96473163	30.00185179	1
4	B-1964	2	0.181416251	0.007731831	0.00546723	2	151.5	23.33452378	16.5	8
4	C-1969	3	0.175708055	0.006077724	0.003508975	3	135	15.87450787	9.16515139	7
4	D-1986	1	0.107003308	NA	NA	1	34	NA	NA	1
4	E-1988	2	0.143524949	0.020258711	0.014325072	2	73.5	28.99137803	20.5	2
4	F-1991	3	0.162144236	0.020963855	0.012103487	3	109	49.42671343	28.5365263	4
4	G-1998	3	0.175431995	0.004664516	0.002693059	3	134	12.52996409	7.234178138	6
4	H-2000	1	0.166161792	NA	NA	1	111	NA	NA	5
4	I-2009	3	0.183895769	0.001918929	0.001107894	3	158.3333333	6.110100927	3.527668415	9
4	J-2012	3	0.16101786	0.006209163	0.003584862	3	100.6666667	12.58305739	7.264831573	3
5	B-1964	2	0.179959824	0.005987103	0.004233521	2	183.5	21.92031022	15.5	7
5	C-1969	3	0.181167163	0.003770374	0.002176826	3	187.6666667	14.04753834	8.11035004	8
5	D-1986	1	0.114119119	NA	NA	1	49	NA	NA	1
5	E-1988	2	0.149307043	0.006771898	0.004788455	2	99.5	13.43502884	9.5	2
5	F-1991	3	0.157653308	0.020384648	0.011769082	3	123.3333333	46.17719495	26.66041593	4
5	G-1998	3	0.173794921	0.005633615	0.003252569	3	162.3333333	18.82374387	10.86789359	5
5	H-2000	1	0.178335591	NA	NA	1	177	NA	NA	6
5	I-2009	3	0.18458639	0.004033598	0.002328799	3	201	15.87450787	9.16515139	9
5	J-2012	3	0.150413604	0.002310634	0.001334045	3	101.3333333	4.618802154	2.666666667	3
