jar	block	seeding_rate	pop_size	r	genotype
B1_A_1	B1	1	57	0.202152563	G-1998
B1_A_2	B1	2	78	0.183178082	G-1998
B1_A_3	B1	3	99	0.174825378	G-1998
B1_A_4	B1	4	133	0.175202738	G-1998
B1_A_5	B1	5	184	0.180274892	G-1998
B3_A_3	B3	3	113	0.181438777	G-1998
B3_A_4	B3	4	122	0.170886334	G-1998
B2_A_1	B2	1	58	0.203022151	G-1998
B2_A_2	B2	2	83	0.186284671	G-1998
B3_A_1	B3	1	23	0.156774711	G-1998
B3_A_2	B3	2	78	0.183178082	G-1998
B3_A_5	B3	5	150	0.170059869	G-1998
B2_A_4	B2	4	147	0.180206911	G-1998
B2_A_3	B2	3	115	0.182315992	G-1998
B2_A_5	B2	5	153	0.17105	G-1998
B1_B_1	B1	1	51	0.196591282	F-1991
B1_B_4	B1	4	166	0.186284671	F-1991
B2_B_1	B2	1	46	0.19143207	F-1991
B1_B_3	B1	3	110	0.180093404	F-1991
B2_B_3	B2	3	98	0.17431776	F-1991
B2_B_4	B2	4	83	0.151627312	F-1991
B1_B_5	B1	5	167	0.175427795	F-1991
B2_B_5	B2	5	128	0.162129618	F-1991
B3_B_3	B3	3	83	0.166011416	F-1991
B3_B_4	B3	4	78	0.148520723	F-1991
B3_B_5	B3	5	75	0.13540251	F-1991
B3_B_1	B3	1	37	0.180545896	F-1991
B2_B_2	B2	2	43	0.153402647	F-1991
B3_B_2	B3	2	38	0.147221949	F-1991
B1_C_5	B1	5	104	0.151747649	J-2012
B1_C_2	B1	2	82	0.185678603	J-2012
B1_C_3	B1	3	118	0.183603617	J-2012
B1_C_4	B1	4	114	0.167495204	J-2012
B2_C_3	B2	3	34	0.121387412	J-2012
B3_C_1	B3	1	34	0.176318026	J-2012
B2_C_5	B2	5	96	0.147745514	J-2012
B3_C_3	B3	3	23	0.101844096	J-2012
B2_C_4	B2	4	89	0.1551171	J-2012
B2_C_1	B2	1	47	0.19250738	J-2012
B2_C_2	B2	2	55	0.1657093	J-2012
B3_C_2	B3	2	48	0.158902692	J-2012
B3_C_5	B3	5	104	0.151747649	J-2012
B3_C_4	B3	4	99	0.160441274	J-2012
B1_D_3	B1	3	108	0.179175947	H-2000
B3_D_1	B3	1	54	0.199449202	H-2000
B3_D_4	B3	4	111	0.166161792	H-2000
B1_D_2	B1	2	105	0.198040658	H-2000
B3_D_5	B3	5	177	0.178335591	H-2000
B2_D_1	B2	1	59	0.203876872	H-2000
B1_E_1	B1	1	37	0.180545896	E-1988
B1_E_3	B1	3	86	0.16778675	E-1988
B1_E_5	B1	5	109	0.154095498	E-1988
B1_E_4	B1	4	94	0.157850021	E-1988
B3_E_1	B3	1	18	0.144518588	E-1988
B2_E_3	B2	3	90	0.170059869	E-1988
B3_E_4	B3	4	53	0.129199878	E-1988
B3_E_2	B3	2	58	0.168364791	E-1988
B3_E_3	B3	3	63	0.152226122	E-1988
B3_E_5	B3	5	90	0.144518588	E-1988
B3_F_1	B3	1	38	0.181879308	D-1986
B1_F_2	B1	2	30	0.13540251	D-1986
B2_F_2	B2	2	64	0.173286795	D-1986
B1_F_4	B1	4	34	0.107003308	D-1986
B2_F_1	B2	1	44	0.189209482	D-1986
B1_F_3	B1	3	76	0.161606053	D-1986
B3_F_5	B3	5	49	0.114119119	D-1986
B1_G_4	B1	4	141	0.178123276	C-1969
B2_G_2	B2	2	75	0.181217047	C-1969
B2_G_3	B2	3	102	0.176318026	C-1969
B1_G_1	B1	1	51	0.196591282	C-1969
B1_G_2	B1	2	81	0.185065099	C-1969
B1_G_3	B1	3	93	0.17169936	C-1969
B2_G_1	B2	1	52	0.197562186	C-1969
B1_G_5	B1	5	173	0.177192684	C-1969
B3_G_1	B3	1	46	0.19143207	C-1969
B2_G_4	B2	4	147	0.180206911	C-1969
B2_G_5	B2	5	189	0.181615455	C-1969
B3_G_4	B3	4	117	0.168793979	C-1969
B3_G_5	B3	5	201	0.18469335	C-1969
